text	label
Amoxicillin có phải là thuốc kháng sinh liều cao không bác sĩ? Con em 2 tuổi uống được không?	healthcare_consultant
Bệnh viện Da liễu Trung ương nằm ở phố nào vậy bạn?	healthcare_center_search
Một năm có bao nhiêu ngày, bao nhiêu giờ, bao nhiêu phút và bao nhiêu giây? Tính chi tiết giùm tôi với.	other
Trí tuệ nhân tạo sẽ thay thế con người trong tương lai như thế nào?	other
Ung thư vú giai đoạn 1 có chữa khỏi hoàn toàn được không bác sĩ ơi? Mẹ em mới nhận kết quả sáng nay...	healthcare_consultant
1 cộng 1 bằng mấy?	other
12 cung hoàng đạo thì cung nào có tính cách bướng bỉnh, cứng đầu nhất? 🔮	other
Alo, cho hỏi bệnh viện Nhi Đồng 1 đi đường nào từ quận Tân Bình vậy ạ?	healthcare_center_search
Ăn nhiều đồ ngọt có thực sự gây ra bệnh tiểu đường không hay do di truyền là chính? 🍰	healthcare_consultant
Bác sĩ cho hỏi 'paracetamol 500mg' uống cách nhau mấy tiếng vậy ạ? Người lớn 60kg.	healthcare_consultant
Bác sĩ ơi cứu em với! Em vừa ngủ dậy thì phát hiện một bên mặt bị liệt, không cười được, mắt không nhắm kín được... Liệu có phải em bị trúng gió độc không? Giờ phải làm thế nào, có nguy hiểm đến tính mạng không ạ?! 😰	healthcare_consultant
Bác sĩ ơi, có biết trạm xá hay trung tâm y tế nào gần đây mở cửa 24/7 không? Em đang ở phường Thảo Điền, quận 2 cũ, có người nhà đột ngột lên cơn sốt cao co giật mà gọi xe cấp cứu mãi chưa thấy đến... Giờ em muốn tự chở bằng xe máy ra chỗ y tế gần nhất cho kịp thời chứ đợi lâu quá sợ nguy hiểm... Giúp em tìm gấp với ạ!!! 🏥	healthcare_center_search
Bác sĩ ơi, em bị nghẹn ở cổ họng, cảm giác như có cục gì vướng ở đó, nuốt nước bọt cũng thấy thốn nhưng ăn uống vẫn bình thường. Khám tai mũi họng thì bảo viêm họng hạt, nhưng em uống thuốc 2 tuần rồi không đỡ chút nào hết trơn á... Liệu em có nguy cơ bị ung thư vòm họng không bác sĩ? Em lo lắng đến mức mất ăn mất ngủ mấy ngày nay rồi, xin cho em lời khuyên với ạ! 😢	healthcare_consultant
Bài hát 'See Tình' của Hoàng Thùy Linh do ai sáng tác vậy?	other
Bạn có thể giải giúp tôi bài toán hình học lớp 9 này không? Đề bài là: Cho đường tròn tâm O đường kính AB, lấy một điểm C trên đường tròn sao cho AC nhỏ hơn BC. Tiếp tuyến tại A và C cắt nhau tại một điểm D... Gọi H là hình chiếu của C trên AB. Chứng minh rằng đường thẳng BD đi qua trung điểm của đoạn thẳng CH. Tôi đã thử vẽ hình và suy nghĩ cả buổi tối nhưng vẫn chưa tìm ra hướng chứng minh bằng tam giác đồng dạng hay định lý Thales... Giúp tôi với! 📐	other
Bạn nghĩ sao về việc đầu tư vào thị trường tiền điện tử (Crypto) ở thời điểm hiện tại? Liệu đây có phải là một kênh đầu tư an toàn sinh lời tốt hay chỉ là một trò chơi may rủi đầy bong bóng tài chính giống như hoa tulip ngày xưa? Tôi có một khoản tiền tiết kiệm nhàn rỗi khoảng 100 triệu và đang phân vân không biết có nên trích ra 20% để mua Bitcoin tích trữ lâu dài hay không... Hãy cho tôi một góc nhìn khách quan nhất có thể nhé! 💸	other
Bé bị ho khò khè có nên đi khám không?	healthcare_consultant
Bé nhà em bị muỗi đốt xong sưng to như quả chanh, có cần bôi thuốc gì không ạ? 🦟 Nhìn thương quá...	healthcare_consultant
Bệnh viện 108 nằm ở đường Trần Hưng Đạo, Hoàn Kiếm phải không?	healthcare_center_search
Bệnh viện Bạch Mai nằm ở quận nào?	healthcare_center_search
Bệnh viện da liễu TP HCM nằm ở đâu vậy?	healthcare_center_search
Bệnh viện đại học Y Dược TP.HCM cơ sở 1 nằm ở đường Hồng Bàng đúng không ạ?	healthcare_center_search
Bệnh viện Hùng Vương chuyên về sản phụ khoa nằm ở quận mấy?	healthcare_center_search
Bệnh viện Phụ sản Trung ương nằm gần các tuyến đường nào lớn để tiện bắt taxi?	healthcare_center_search
Bệnh viện Tai Mũi Họng TPHCM nằm ở đường Trần Quốc Thảo đúng không?	healthcare_center_search
Bệnh viện Thống Nhất nằm ở ngã tư nào vậy ạ?	healthcare_center_search
Bệnh viện Từ Dũ cách bệnh viện Hùng Vương bao xa?	healthcare_center_search
Bệnh viện Từ Dũ cổng nào nhận khám dịch vụ ngoài giờ vậy ạ?	healthcare_center_search
Bệnh viện từ dũ đi đường nào	healthcare_center_search
Bị chó cắn thì bao lâu phải đi tiêm ngừa?	healthcare_consultant
Bị kiến ba khoang đốt thì bôi thuốc gì cho nhanh xẹp, không để lại sẹo thâm đen vậy mng? 🐜	healthcare_consultant
Bị mất ngủ kinh niên, cả tuần nay mỗi đêm chỉ chợp mắt được 2 tiếng... Đầu óc quay cuồng, mệt mỏi rã rời... Có thuốc thảo dược nào giúp dễ ngủ không? 😴	healthcare_consultant
Bị rắn cắn sơ cứu như thế nào cho đúng?	healthcare_consultant
Bị thủy đậu thì cần kiêng gió và kiêng nước tuyệt đối đúng không ạ? Có được tắm không?	healthcare_consultant
Bố em bị ho khan kéo dài hơn 1 tháng nay, sụt mất 3kg mà không rõ lý do... Ông cụ lại hút thuốc lá lâu năm nữa nên cả nhà đang lo lắm, sợ bị K phổi... Bác sĩ tư vấn giúp em nên làm những xét nghiệm gì để tầm soát chính xác nhất ạ? Nhà em ở quê nên muốn chuẩn bị trước tinh thần và kinh phí để đưa cụ lên tuyến trên khám luôn cho tiện... 😔	healthcare_consultant
Cách đăng ký tài khoản định danh điện tử VNeID mức độ 2 tại nhà.	other
Cách đổi mật khẩu wifi mạng Viettel.	other
Cách làm món thịt kho tàu nước dừa chuẩn vị miền Tây cho ngày Tết.	other
Cách làm sạch thảm trải sàn dính vết bẩn cứng đầu bằng baking soda.	other
Cách nấu món phở bò chuẩn vị Nam Định.	other
Cách phân biệt da thật và da giả (simili) chính xác nhất khi mua ví tiền.	other
Cách tải và cài đặt ứng dụng TikTok trên máy tính Windows 11.	other
Cách thắt dây giày kiểu giấu dây cực gọn gàng và thời trang.	other
Cách xử lý khi bị bỏng nước sôi tại nhà?	healthcare_consultant
Cách xử lý khi tài khoản Facebook bị hack đổi hết email và số điện thoại.	other
Cấp cứu!! Trạm y tế ở đâu? 🆘	healthcare_center_search
Chào bạn, bạn có thể giúp tôi việc này không?	other
Chào bạn, hiện tại tôi đang đứng ở ga Sài Gòn và cần di chuyển gấp đến Bệnh viện Chấn thương Chỉnh hình ở đường Trần Hưng Đạo, Quận 5. Do tôi là người ở tỉnh khác mới lên nên không rành đường xá ở đây chút nào, lại đi cùng người bệnh đi lại khó khăn... Bạn có thể hướng dẫn chi tiết lộ trình đi bằng taxi hoặc xe máy sao cho thuận tiện nhất, tránh những cung đường hay bị kẹt xe giờ cao điểm không? Cảm ơn bạn rất nhiều! 🗺️	healthcare_center_search
Chào bạn, mình là một lập trình viên mới vào nghề và đang muốn tìm hiểu sâu hơn về kiến trúc hệ thống (System Architecture)... Bạn có thể giải thích một cách chi tiết và dễ hiểu nhất về sự khác nhau giữa Microservices và Monolithic architecture không? Khi nào thì một dự án khởi nghiệp nên chuyển từ Monolith sang Microservices để tối ưu hóa chi phí và hiệu năng? Nếu có ví dụ thực tế từ các công ty lớn như Netflix hay Uber thì càng tốt nhé! Rất mong phản hồi từ bạn. 💻	other
Chào chuyên gia y tế! Tôi năm nay 45 tuổi, dạo gần đây cứ khoảng 3-4 giờ sáng là tôi bị thức giấc bởi những cơn đau quặn ở vùng hạ sườn phải... Cơn đau âm ỉ kéo dài khoảng 1 tiếng rồi tự hết, thỉnh thoảng có kèm theo cảm giác buồn nôn nhẹ nhưng không sốt. Tôi có đi nội soi dạ dày cách đây 2 tháng thì kết quả bình thường, chỉ bị viêm trợt nhẹ thôi. Liệu đây có phải là dấu hiệu của bệnh lý về gan hay túi mật không thưa bác sĩ? Tôi có nên đi siêu âm ổ bụng ngay không ạ? Mong nhận được tư vấn sớm vì tôi lo lắng quá! 😥	healthcare_consultant
Chào mọi người, tình hình là bố em chuẩn bị từ quê lên Hà Nội để điều trị dài ngày tại Bệnh viện K cơ sở Tân Triều (Thanh Trì)... Vì hoàn cảnh gia đình khó khăn nên em muốn tìm một phòng trọ bình dân hoặc nhà nghỉ giá rẻ, sạch sẽ ở ngay gần sát cổng bệnh viện để tiện đi bộ qua lại chăm sóc cụ... Ai biết quanh khu vực đó có nhà trọ nào cho thuê theo ngày hoặc theo tuần giá cả phải chăng thì chỉ giúp em với ạ! Em xin chân thành cảm ơn! 🏠	healthcare_center_search
Chế độ ăn Keto cho người bị đau dạ dày mãn tính có an toàn không chuyên gia?	healthcare_consultant
Chỉ đường đến Bệnh viện Mắt Trung ương bằng xe buýt từ bến xe Mỹ Đình giúp tôi với. 🚌	healthcare_center_search
Chỉ đường đến trung tâm y tế dự phòng quận Tân Bình để làm giấy chứng nhận sức khỏe.	healthcare_center_search
Chỉ đường đến viện bỏng quốc gia Lê Hữu Trác.	healthcare_center_search
Chỉ đường đến Viện Huyết học - Truyền máu Trung ương ở Phạm Văn Bạch.	healthcare_center_search
Chỉ đường đến viện tim TP.HCM.	healthcare_center_search
Chỉ đường đi đến bệnh viện Bình Dân từ quận 7.	healthcare_center_search
Cho em hỏi lịch tiêm chủng vắc xin trọn gói cho bé sơ sinh gồm những mũi nào quan trọng nhất?	healthcare_consultant
Cho em xin định vị chính xác của Bệnh viện Đa khoa Quốc tế Vinmec Central Park. 📍	healthcare_center_search
Cho hỏi kết quả trận bóng đá tối qua thế nào?	other
Cho hỏi phòng khám chuyên khoa xương khớp nào tốt nhất ở quận Đống Đa Hà Nội?	healthcare_center_search
Cho hỏi quán cà phê nào yên tĩnh, có ổ điện và wifi mạnh để ngồi làm việc cả ngày quanh khu vực Nhà Thờ Lớn Hà Nội? Mình cần không gian không quá ồn ào vì phải tham gia một số buổi họp online trực tuyến với đối tác nước ngoài, nước uống ngon một chút thì càng điểm cộng nhé!	other
Cho hỏi trúng xổ số giải đặc biệt thì phải đóng thuế thu nhập cá nhân bao nhiêu phần trăm?	other
Cho hỏi tỷ giá USD hôm nay đổi sang VND là bao nhiêu?	other
Cho xin công thức làm bánh mì Việt Nam tại nhà siêu giòn đi bồ!	other
Cho xin địa chỉ và số điện thoại của Bệnh viện Đa khoa tỉnh Bình Dương.	healthcare_center_search
Chồng em bị ong vò vẽ đốt 3 phát vào tay, giờ chỗ đó sưng to và đỏ ửng lên rồi, kêu nhức lắm. Cho em hỏi có cần đi bệnh viện không hay chỉ cần bôi vôi là được? 🐝	healthcare_consultant
Chóng mặt, hoa mắt khi đứng dậy đột ngột là do thiếu máu hay do huyết áp thấp vậy chuyên gia?	healthcare_consultant
"Có ai biết cách chữa dứt điểm bệnh ""viêm xoang sàng"" không? Cứ trời lạnh là mũi đau nhức lên tận đỉnh đầu..."	healthcare_consultant
Có nên cho trẻ sơ sinh uống nước lọc sau khi bú sữa mẹ không ạ?	healthcare_consultant
Có nên rạch mụn mủ bọc to đùng trên mặt không hay cứ để nó tự vỡ? 🧼	healthcare_consultant
Có nhà thuốc Pharmacity nào mở cửa xuyên đêm gần vị trí của tôi không?	healthcare_center_search
Có phòng khám nam khoa nào kín đáo, bảo mật thông tin ở khu vực Thanh Xuân không?	healthcare_center_search
Có trạm xá nào gần vị trí của tôi không?	healthcare_center_search
Con tôi bị sốt cao, phải làm sao?	healthcare_consultant
Đang cho con bú có uống được thuốc tẩy giun Fugacar không ạ?	healthcare_consultant
Danh sách các bệnh viện quốc tế tại Sài Gòn.	healthcare_center_search
